implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1200,1200,4200,1,12.786971,1.000000,1.000000,12.786971,0,"ok","./bin/mm_serial 1200 1200 4200","Time: 12.786971 seconds"
"Implementation 2 (MM-1D)",1200,1200,4200,1,12.480400,1.000000,1.024564,12.480400,0,"ok","mpirun -np 1 ./bin/mm_1d 1200 1200 4200","Local Matrix Multiplication Compute Time: 12.3933 seconds Total Runtime: 12.4804 seconds"
"Implementation 3 (MM-2D)",1200,1200,4200,1,12.436484,1.000000,1.028182,12.436484,0,"ok","mpirun -np 1 ./bin/mm_2d 1200 1200 4200","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x1200), B(1200x4200), C(1200x4200) Parallel Time: 12.436484 seconds"
"Implementation 1 (Serial)",1200,1200,4200,4,12.786971,1.000000,1.000000,12.786971,0,"ok","./bin/mm_serial 1200 1200 4200","Time: 12.786971 seconds"
"Implementation 2 (MM-1D)",1200,1200,4200,4,3.342580,3.733763,3.825479,13.370320,0,"ok","mpirun -np 4 ./bin/mm_1d 1200 1200 4200","Local Matrix Multiplication Compute Time: 3.23131 seconds Total Runtime: 3.34258 seconds"
"Implementation 3 (MM-2D)",1200,1200,4200,4,2.387172,5.209714,5.356535,9.548688,0,"ok","mpirun -np 4 ./bin/mm_2d 1200 1200 4200","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x1200), B(1200x4200), C(1200x4200) Parallel Time: 2.387172 seconds"
"Implementation 1 (Serial)",1200,1200,4200,9,12.786971,1.000000,1.000000,12.786971,0,"ok","./bin/mm_serial 1200 1200 4200","Time: 12.786971 seconds"
"Implementation 2 (MM-1D)",1200,1200,4200,9,1.773380,7.037634,7.210508,15.960420,0,"ok","mpirun -np 9 ./bin/mm_1d 1200 1200 4200","Local Matrix Multiplication Compute Time: 1.60471 seconds Total Runtime: 1.77338 seconds"
"Implementation 3 (MM-2D)",1200,1200,4200,9,1.271558,9.780509,10.056145,11.444022,0,"ok","mpirun -np 9 ./bin/mm_2d 1200 1200 4200","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x1200), B(1200x4200), C(1200x4200) Parallel Time: 1.271558 seconds"
"Implementation 1 (Serial)",1200,1200,4200,16,12.786971,1.000000,1.000000,12.786971,0,"ok","./bin/mm_serial 1200 1200 4200","Time: 12.786971 seconds"
"Implementation 2 (MM-1D)",1200,1200,4200,16,1.213390,10.285564,10.538220,19.414240,0,"ok","mpirun -np 16 ./bin/mm_1d 1200 1200 4200","Local Matrix Multiplication Compute Time: 0.95718 seconds Total Runtime: 1.21339 seconds"
"Implementation 3 (MM-2D)",1200,1200,4200,16,0.864940,14.378435,14.783651,13.839040,0,"ok","mpirun -np 16 ./bin/mm_2d 1200 1200 4200","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x1200), B(1200x4200), C(1200x4200) Parallel Time: 0.864940 seconds"
"Implementation 1 (Serial)",1200,1200,4200,25,12.786971,1.000000,1.000000,12.786971,0,"ok","./bin/mm_serial 1200 1200 4200","Time: 12.786971 seconds"
"Implementation 2 (MM-1D)",1200,1200,4200,25,1.465470,8.516312,8.725509,36.636750,0,"ok","mpirun -np 25 ./bin/mm_1d 1200 1200 4200","Local Matrix Multiplication Compute Time: 1.04651 seconds Total Runtime: 1.46547 seconds"
"Implementation 3 (MM-2D)",1200,1200,4200,25,0.804941,15.450181,15.885600,20.123525,0,"ok","mpirun -np 25 ./bin/mm_2d 1200 1200 4200","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x1200), B(1200x4200), C(1200x4200) Parallel Time: 0.804941 seconds"
